date,closing price
2021-03-29,135.86
2021-03-30,134.72
2021-03-31,133.26
2021-04-01,133.23
2021-04-05,135.93
2021-04-06,134.22
2021-04-07,134.93
2021-04-08,135.12
2021-04-09,135.73
2021-04-12,134.59
2021-04-13,131.18
2021-04-14,132.63
2021-04-15,132.58
2021-04-16,133.59
2021-04-19,133.12
2021-04-20,138.16
2021-04-21,143.55
2021-04-22,141.28
2021-04-23,142.43
2021-04-26,141.57
2021-04-27,142.01
2021-04-28,143
2021-04-29,144.24
2021-04-30,141.88
2021-05-03,144.75
2021-05-04,145.75
2021-05-05,145.22
2021-05-06,148.42
2021-05-07,145.46
2021-05-10,146.17
2021-05-11,144.22
2021-05-12,141.3
2021-05-13,144.17
2021-05-14,144.68
2021-05-17,145.11
2021-05-18,143.91
2021-05-19,143.19
2021-05-20,143.88
2021-05-21,144.74
2021-05-24,144.72
2021-05-25,143.79
2021-05-26,143.38
2021-05-27,143.82
2021-05-28,143.74
2021-06-01,144.19
2021-06-02,145.72
2021-06-03,145.55
2021-06-04,147.42
2021-06-07,148.02
2021-06-08,149.07
2021-06-09,150.67
2021-06-10,150.54
2021-06-11,151.28
2021-06-14,150.03
2021-06-15,149.36
2021-06-16,147.83
2021-06-17,145.6
2021-06-18,143.12
2021-06-21,146.65
2021-06-22,146.36
2021-06-23,144.61
2021-06-24,145.44
2021-06-25,146.84
2021-06-28,145.29
2021-06-29,145.55
2021-06-30,146.59
2021-07-01,146.84
2021-07-02,140.02
2021-07-06,138.78
2021-07-07,139.82
2021-07-08,140.74
2021-07-09,141.52
2021-07-12,140.92
2021-07-13,140.28
2021-07-14,139.82
2021-07-15,140.45
2021-07-16,138.9
2021-07-19,137.92
2021-07-20,139.97
2021-07-21,141.3
2021-07-22,140.71
2021-07-23,141.34
2021-07-26,142.77
2021-07-27,142.75
2021-07-28,141.77
2021-07-29,141.93
2021-07-30,140.96
2021-08-02,141.42
2021-08-03,144.07
2021-08-04,142.76
2021-08-05,142.77
2021-08-06,144.09
2021-08-09,141.25
2021-08-10,141.38
2021-08-11,142.13
2021-08-12,143.07
2021-08-13,143.18
2021-08-16,143.59
2021-08-17,142.42
2021-08-18,139.47
2021-08-19,138.02
2021-08-20,139.11
2021-08-23,139.62
2021-08-24,139.84
2021-08-25,139.86
2021-08-26,138.78
2021-08-27,139.41
2021-08-30,138.97
2021-08-31,140.34
2021-09-01,139.3
2021-09-02,140.01
2021-09-03,139.58
2021-09-07,138.06
2021-09-08,138.67
2021-09-09,137.74
2021-09-10,137.02
2021-09-13,138.15
2021-09-14,136.22
2021-09-15,137.2
2021-09-16,136.43
2021-09-17,135.23
2021-09-20,134.31
2021-09-21,132.97
2021-09-22,134.63
2021-09-23,136.73
2021-09-24,137.49
2021-09-27,138.56
2021-09-28,137.47
2021-09-29,139.18
2021-09-30,138.93
2021-10-01,143.32
2021-10-04,144.11
2021-10-05,143.15
2021-10-06,142.36
2021-10-07,141.81
2021-10-08,143.22
2021-10-11,142.43
2021-10-12,140.47
2021-10-13,140.76
2021-10-14,143.39
2021-10-15,144.61
2021-10-18,142.32
2021-10-19,141.98
2021-10-20,141.9
2021-10-21,128.33
2021-10-22,127.88
2021-10-25,127.64
2021-10-26,127.13
2021-10-27,125.17
2021-10-28,125.84
2021-10-29,125.1
2021-11-01,126.28
2021-11-02,126.18
2021-11-03,127.13
2021-11-04,120.85
2021-11-05,123.61
2021-11-08,124.54
2021-11-09,120.85
2021-11-10,120.22
2021-11-11,120.27
2021-11-12,118.96
2021-11-15,118.87
2021-11-16,118.46
2021-11-17,118.06
2021-11-18,116.66
2021-11-19,116.05
2021-11-22,116.47
2021-11-23,116.79
2021-11-24,116.73
2021-11-26,115.81
2021-11-29,118.5
2021-11-30,117.1
2021-12-01,116.92
2021-12-02,116.9
2021-12-03,118.84
2021-12-06,119.91
2021-12-07,121.58
2021-12-08,123.02
2021-12-09,123.57
2021-12-10,124.09
2021-12-13,122.58
2021-12-14,123.76
2021-12-15,123.11
2021-12-16,125.93
2021-12-17,127.4
2021-12-20,127.06
2021-12-21,128.97
2021-12-22,129.75
2021-12-23,130.63
2021-12-27,131.62
2021-12-28,132.63
2021-12-29,133.35
2021-12-30,133.91
2021-12-31,133.66
2022-01-03,136.04
2022-01-04,138.02
2022-01-05,138.22
2022-01-06,135.34
2022-01-07,134.83
2022-01-10,135.03
2022-01-11,132.87
2022-01-12,133.59
2022-01-13,134.76
2022-01-14,134.21
2022-01-18,132.94
2022-01-19,131.58
2022-01-20,130.82
2022-01-21,129.35
2022-01-24,128.82
2022-01-25,136.1
2022-01-26,134.26
2022-01-27,132.52
2022-01-28,134.5
2022-01-31,133.57
2022-02-01,135.53
2022-02-02,137.25
2022-02-03,137.78
2022-02-04,137.15
2022-02-07,137.24
2022-02-08,137.02
2022-02-09,137.79
2022-02-10,133.52
2022-02-11,132.69
2022-02-14,130.15
2022-02-15,129.94
2022-02-16,129.18
2022-02-17,124.97
2022-02-18,124.35
2022-02-22,123.92
2022-02-23,122.07
2022-02-24,121.97
2022-02-25,124.18
2022-02-28,122.51
2022-03-01,121.35
2022-03-02,123.86
2022-03-03,125.93
2022-03-04,126.62
2022-03-07,126.07
2022-03-08,125.68
2022-03-09,126.22
2022-03-10,124.35
2022-03-11,123.96
2022-03-14,123.94
2022-03-15,125.64
2022-03-16,127.04
2022-03-17,127.96
2022-03-18,128.76
2022-03-21,128.1
2022-03-22,129.06
2022-03-23,128.3
2022-03-24,129.25
2022-03-25,131.35
