date,closing price
2021-03-29,152.68
2021-03-30,154.48
2021-03-31,152.23
2021-04-01,153.71
2021-04-05,153.62
2021-04-06,152.54
2021-04-07,154.93
2021-04-08,155.12
2021-04-09,156.28
2021-04-12,155.95
2021-04-13,154.09
2021-04-14,151.21
2021-04-15,152.17
2021-04-16,153.3
2021-04-19,152.65
2021-04-20,149.27
2021-04-21,150.54
2021-04-22,147.37
2021-04-23,150.19
2021-04-26,150.56
2021-04-27,151.25
2021-04-28,152.23
2021-04-29,155.19
2021-04-30,153.81
2021-05-03,153.36
2021-05-04,155.48
2021-05-05,157.52
2021-05-06,160.69
2021-05-07,161.24
2021-05-10,161.22
2021-05-11,158.54
2021-05-12,157.45
2021-05-13,161.5
2021-05-14,164.01
2021-05-17,164.67
2021-05-18,162.35
2021-05-19,161.11
2021-05-20,160.83
2021-05-21,162.66
2021-05-24,163.54
2021-05-25,161.85
2021-05-26,161.83
2021-05-27,164.35
2021-05-28,164.24
2021-06-01,166.05
2021-06-02,166.06
2021-06-03,166.17
2021-06-04,166.44
2021-06-07,165.66
2021-06-08,165
2021-06-09,162.94
2021-06-10,160.4
2021-06-11,160.29
2021-06-14,157.57
2021-06-15,155.18
2021-06-16,156.27
2021-06-17,151.76
2021-06-18,147.92
2021-06-21,150.43
2021-06-22,150.21
2021-06-23,151.12
2021-06-24,152.51
2021-06-25,154.05
2021-06-28,154.33
2021-06-29,154.14
2021-06-30,155.54
2021-07-01,157.08
2021-07-02,156.03
2021-07-06,153.41
2021-07-07,153.59
2021-07-08,150.94
2021-07-09,155.77
2021-07-12,158
2021-07-13,155.65
2021-07-14,155.12
2021-07-15,155.46
2021-07-16,151.91
2021-07-19,146.97
2021-07-20,149.71
2021-07-21,152.86
2021-07-22,150.93
2021-07-23,150.64
2021-07-26,151.65
2021-07-27,151.45
2021-07-28,151.7
2021-07-29,153
2021-07-30,151.78
2021-08-02,151.17
2021-08-03,152.89
2021-08-04,151.24
2021-08-05,153.15
2021-08-06,157.5
2021-08-09,157.33
2021-08-10,159.26
2021-08-11,161.16
2021-08-12,161.79
2021-08-13,159.98
2021-08-16,158.93
2021-08-17,157.01
2021-08-18,155.58
2021-08-19,154.28
2021-08-20,154.72
2021-08-23,156.7
2021-08-24,157.67
2021-08-25,160.92
2021-08-26,161.75
2021-08-27,163.05
2021-08-30,160.44
2021-08-31,159.95
2021-09-01,159.72
2021-09-02,160.46
2021-09-03,159.49
2021-09-07,159.21
2021-09-08,158.5
2021-09-09,159.19
2021-09-10,157.36
2021-09-13,159.86
2021-09-14,157.07
2021-09-15,158.16
2021-09-16,158.09
2021-09-17,157.68
2021-09-20,152.96
2021-09-21,152.98
2021-09-22,155.91
2021-09-23,161.18
2021-09-24,163.04
2021-09-27,166.98
2021-09-28,166.08
2021-09-29,165.95
2021-09-30,163.69
2021-10-01,167.13
2021-10-04,166.95
2021-10-05,168.66
2021-10-06,169.02
2021-10-07,170.09
2021-10-08,170.22
2021-10-11,166.64
2021-10-12,165.36
2021-10-13,161
2021-10-14,163.47
2021-10-15,166.61
2021-10-18,166.55
2021-10-19,168.57
2021-10-20,170.84
2021-10-21,169.5
2021-10-22,171.78
2021-10-25,170.94
2021-10-26,171.4
2021-10-27,167.83
2021-10-28,170.36
2021-10-29,169.89
2021-11-01,169.8
2021-11-02,170.47
2021-11-03,170.53
2021-11-04,168.29
2021-11-05,168.05
2021-11-08,169.06
2021-11-09,167.78
2021-11-10,167.62
2021-11-11,167.61
2021-11-12,166.86
2021-11-15,166.56
2021-11-16,165.36
2021-11-17,164.47
2021-11-18,163.05
2021-11-19,160.92
2021-11-22,164.35
2021-11-23,168.28
2021-11-24,166.96
2021-11-26,161.93
2021-11-29,161.23
2021-11-30,158.83
2021-12-01,157.89
2021-12-02,161.21
2021-12-03,158.29
2021-12-06,160.16
2021-12-07,162.57
2021-12-08,160.71
2021-12-09,160.46
2021-12-10,159.82
2021-12-13,157.92
2021-12-14,159.13
2021-12-15,157.94
2021-12-16,160.41
2021-12-17,156.76
2021-12-20,153.94
2021-12-21,156.09
2021-12-22,156.7
2021-12-23,157.26
2021-12-27,158.16
2021-12-28,158.64
2021-12-29,158.56
2021-12-30,158.48
2021-12-31,158.35
2022-01-03,161.7
2022-01-04,167.83
2022-01-05,163.78
2022-01-06,165.52
2022-01-07,167.16
2022-01-10,167.32
2022-01-11,167.49
2022-01-12,168.44
2022-01-13,168.23
2022-01-14,157.89
2022-01-18,151.27
2022-01-19,148.93
2022-01-20,147.66
2022-01-21,145.08
2022-01-24,144.95
2022-01-25,146.53
2022-01-26,147.92
2022-01-27,145.31
2022-01-28,146.61
2022-01-31,148.6
2022-02-01,151.15
2022-02-02,149.94
2022-02-03,148.7
2022-02-04,152.56
2022-02-07,153.07
2022-02-08,155.95
2022-02-09,156.6
2022-02-10,155.95
2022-02-11,153.92
2022-02-14,152.49
2022-02-15,154.72
2022-02-16,155
2022-02-17,151.43
2022-02-18,152.14
2022-02-22,151.87
2022-02-23,148.69
2022-02-24,144.55
2022-02-25,147.97
2022-02-28,141.8
2022-03-01,136.45
2022-03-02,139.28
2022-03-03,138.29
2022-03-04,134.4
2022-03-07,129.21
2022-03-08,128.3
2022-03-09,133.44
2022-03-10,131.86
2022-03-11,128.89
2022-03-14,130.17
2022-03-15,132.48
2022-03-16,138.4
2022-03-17,140.15
2022-03-18,140.1
2022-03-21,139.65
2022-03-22,142.62
2022-03-23,139.78
2022-03-24,140.69
2022-03-25,141.92
